Number of valid computations:,,91,91,91,91,69,63,59,56,67,61,69,68,76,73,63,60,73,71,71,70,86,86,73,67,13,6,65,62,74,70,62,59,71,67,66,60,73,70
Ratio of valid computations:,,0.561728395,0.561728395,0.561728395,0.561728395,0.425925926,0.388888889,0.364197531,0.345679012,0.413580247,0.37654321,0.425925926,0.419753086,0.469135802,0.450617284,0.388888889,0.37037037,0.450617284,0.438271605,0.438271605,0.432098765,0.530864198,0.530864198,0.450617284,0.413580247,0.080246914,0.037037037,0.401234568,0.382716049,0.456790123,0.432098765,0.382716049,0.364197531,0.438271605,0.413580247,0.407407407,0.37037037,0.450617284,0.432098765
Relative distance to minimum computation time:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.75 quantile:,-0.799441341,-0.918610186,-0.853393665,-0.937823834,19.87196573,217.3593938,30.77498894,208.90675,15.78588645,111.4602333,19.4,119.9200829,7.7890625,49.84861439,20.73100295,112.2,0.789362727,15.69230769,24.98633333,91.21710526,0.914076904,12.234375,15.44736842,83.38599595,33.1790794,nan,24.97802198,105.3812242,0.840754659,25.1,24.29737202,117.3071532,1.052166692,28.89189189,34.56458237,285,29.8,166.4351648
Relative distance to minimum number of subproblems:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,,,3.693247366,7.216792232,6.185021883,7.55312368,3.794054532,7.216114166,6.017572332,6.12555686,2.891605959,3.629931147,7.389710343,7.382534681,0.214135262,1.48133544,7.314980991,7.77164248,0.236218185,0.453134947,2.87492749,7.107899424,7.216380131,56.75765936,7.881603057,10.51135188,0.246536126,1.421226084,8.105707577,10.4390727,0.265926398,2.45210039,5.740637887,11.38911416,5.177555439,15.96885928
,std error of mean:,,,,,0.509335683,0.989095647,1.411380947,1.676222617,0.676456516,1.358252464,1.290009447,1.481594167,0.567492437,0.726290659,1.867623822,1.487041654,0.030993972,0.208900474,1.675439085,1.763441579,0.030010431,0.0421898,0.332388538,1.933961738,2.490722912,34.19087966,2.08177175,2.193863315,0.034857805,0.20066618,2.212017973,2.395001948,0.038986385,0.348229071,0.893025187,1.140926072,0.980411612,3.567402355
,0.25 quantile:,,,,,1.2625,2.450308642,0.81061976,1.458150585,0.658163265,1.255555556,0.793103448,0.606519934,0.468524333,0.624856157,0.624253384,1.256192022,0,0.351523797,0.812511596,0.547728016,0,0.173060345,1.049056604,2.11489726,1.074047955,15.6097028,0.619047619,1.295220512,0.017459932,0.398325359,0.626257545,1.573455378,0.004484305,0.429257858,1.947278912,4.21160221,0.61971831,2.538394752
,median:,,,,,2.342,5.396226415,2.56675063,2.898677419,1.409090909,3.131578947,2.111111111,1.748659917,1.129483451,1.362318841,1.784615385,3.191441441,0.135135135,0.84057971,2.188405797,1.8125,0.132784959,0.394594595,2.304761905,4.041666667,3.555555556,27.20871041,2.561822126,3.608552632,0.176547515,0.903087045,2.621327154,3.93006993,0.2,1.541389153,3.88045738,9.562979405,1.969230769,5.803207547
,0.75 quantile:,,,,,4.261964736,9.121237796,5.479424586,6.347169811,3.906729983,6.866527633,5.781132075,5.523515653,2.773781301,3.3,6.260746606,9.291981132,0.303030303,2.128742931,6.787993763,7.049089764,0.33956123,0.638330368,3.78,6.066972218,7.068131868,28.70772059,7.090909091,11.37132353,0.356892011,1.635509804,7.287330317,10.35444178,0.359800839,2.925146199,6.11846654,15.15320513,5.837837838,14.87635728
Relative distance to minimum number of feasibility cuts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
,std error of mean:,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
