(copy of rankings_GRB_all_Std_cautious_Papa_rev_algo_1May2026-8h37.csv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benders methods are compared based on their rankings with respect to several measures of performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of networks:,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of methods:,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methods (see legend below): ,,GRB_T-0.0001_ILP_flow,GRB_T-0.0001_ILP_flow_strong,GRB_T-0.0001_Std,GRB_F_T-0.0001_Std,GRB_T-0.0001_Std_Decomp,GRB_F_T-0.0001_Std_Decomp,GRB_T-0.0001_Fisch,GRB_F_T-0.0001_Fisch,GRB_U_T-0.0001_Fisch,GRB_F_U_T-0.0001_Fisch,GRB_T-0.0001_StatBS,GRB_F_T-0.0001_StatBS,GRB_U_T-0.0001_StatBS,GRB_F_U_T-0.0001_StatBS,GRB_G-0.1_M-1_T-0.0001_AdaptBS,GRB_F_G-0.1_M-1_T-0.0001_AdaptBS,GRB_G-0.5_M-1_T-0.0001_AdaptBS,GRB_F_G-0.5_M-1_T-0.0001_AdaptBS,GRB_M-1_T-0.0001_AdaptBS,GRB_F_M-1_T-0.0001_AdaptBS,GRB_E-2_T-0.0001_Seo,GRB_F_E-2_T-0.0001_Seo,GRB_E-4_T-0.0001_Seo,GRB_F_E-4_T-0.0001_Seo,GRB_R-0_T-0.0001_HT,GRB_F_R-0_T-0.0001_HT,GRB_R-1_T-0.0001_HT,GRB_F_R-1_T-0.0001_HT,GRB_R-2_T-0.0001_HT,GRB_F_R-2_T-0.0001_HT,GRB_P-1.0_L-0.5_A_T-0.0001_MW,GRB_F_P-1.0_L-0.5_A_T-0.0001_MW,GRB_P-1.0_L-0.5_T-0.0001_Papa,GRB_F_P-1.0_L-0.5_T-0.0001_Papa,GRB_H-0.1_G-0.1_M-1_T-0.0001_Glomb,GRB_F_H-0.1_G-0.1_M-1_T-0.0001_Glomb,GRB_H-0.1_G-0.25_M-1_T-0.0001_Glomb,GRB_F_H-0.1_G-0.25_M-1_T-0.0001_Glomb,GRB_H-0.1_G-0.75_M-1_T-0.0001_Glomb,GRB_F_H-0.1_G-0.75_M-1_T-0.0001_Glomb,GRB_H-0.5_G-0.1_M-1_T-0.0001_Glomb,GRB_F_H-0.5_G-0.1_M-1_T-0.0001_Glomb,GRB_H-0.5_G-0.25_M-1_T-0.0001_Glomb,GRB_F_H-0.5_G-0.25_M-1_T-0.0001_Glomb,GRB_H-0.5_G-0.75_M-1_T-0.0001_Glomb,GRB_F_H-0.5_G-0.75_M-1_T-0.0001_Glomb,GRB_H-0.9_G-0.1_M-1_T-0.0001_Glomb,GRB_F_H-0.9_G-0.1_M-1_T-0.0001_Glomb,GRB_H-0.9_G-0.25_M-1_T-0.0001_Glomb,GRB_F_H-0.9_G-0.25_M-1_T-0.0001_Glomb,GRB_H-0.9_G-0.75_M-1_T-0.0001_Glomb,GRB_F_H-0.9_G-0.75_M-1_T-0.0001_Glomb
,mean:,2.694444444,2.361111111,38.67213115,37.9122807,31.02898551,22.37974684,20.94,14.2125,20.02,12.47530864,19.15333333,7.971910112,18.26712329,7,23.79577465,18.63380282,25.71126761,17.89864865,25.76760563,17.7972973,31.14788732,18.25,31.14788732,18.25,44.5,36.29545455,18.23972603,6.721590909,18.98648649,7.735955056,31.92028986,23.34459459,35.11206897,27.05844156,20.50675676,37.3125,21.96710526,37.21428571,21.48026316,39.6,20.1369863,37.3125,21.64864865,37.21428571,22.39189189,39.6,19.91666667,37.3125,20.84722222,37.21428571,21.22222222,39.6
,std error of mean:,0.294359993,0.307019501,0.542085967,0.989100559,1.262612657,1.310240171,0.959303451,0.918166269,1.021564813,0.938064517,0.981924339,0.628579112,0.983256439,0.496158079,0.832451409,1.174092049,0.785055689,1.229617597,0.777066071,1.220858966,0.991152808,1.75431058,0.991152808,1.75431058,0.632572469,1.615661196,1.101701612,0.48103616,1.014502804,0.591948774,1.044213871,1.208871429,0.998292471,1.187299051,0.768103475,1.627252045,0.894269205,1.984267569,0.921026353,1.930802942,0.834900899,1.627252045,0.769661313,1.984267569,0.863505597,1.930802942,0.786471747,1.627252045,0.846461344,1.984267569,0.836503743,1.930802942
,0.25 quantile:,1.5,1,37,36,25,13,16,9.75,15,7,12.5,4,11,4,17.75,11,22,9.5,22,9.5,28.5,6.375,28.5,6.375,43,36,10,4,12,4,27,13.25,31.25,17,16,33.75,16.875,32.25,16.5,38,16,33.75,17,32.25,16.125,38,16,33.75,15.875,32.25,16.875,38
,median:,2,1.5,38,41,34,21,19.5,12,19,10,19,6,17,6,24,14,26.5,12.25,26.5,12.25,34.5,9.5,34.5,9.5,43,41,17,5,19,6,35,23,37.5,33,20.5,36.5,22.75,38,22.25,39,20,36.5,21,38,23,39,19,36.5,21,38,21.5,39
,0.75 quantile:,2,2,41,41,40,34,26,16,26,14,25.5,8,26,7.75,28.25,26,30.5,26,30.5,26,36.5,34.75,36.5,34.75,43,42,26,8,27.375,8,38,33.75,40,36,25.75,39.75,27.625,40.5,27.125,42,24.5,39.75,27,40.5,27.875,42,25,39.75,25.125,40.5,27.625,42
Rank of number of subproblems:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,31.68852459,33.55263158,28.5942029,18.99367089,22.56666667,13.61875,22.55333333,11.2962963,20.92,3.876404494,20.82876712,4.377777778,24.52816901,15.85915493,24.84507042,15.34459459,24.83098592,15.35810811,28.78169014,16.71710526,28.78169014,16.71710526,42.5,29.64772727,21.15753425,4.329545455,20.37162162,4.303370787,33.19565217,23.65540541,36.9137931,30,19,26.6875,16.30921053,26.64285714,14.28289474,25,19.19178082,26.6875,16.81756757,26.64285714,15.71621622,25,19.52777778,26.6875,17.32638889,26.64285714,16.47222222,25
,std error of mean:,,,0.868323682,1.211078199,0.999594297,1.054419502,0.947480089,1.011351345,0.944625656,0.909432433,1.018977265,0.413315252,1.022601555,0.505177582,0.760556033,1.109381068,0.720625345,1.243130344,0.702740947,1.250621477,1.172518606,1.629331419,1.172518606,1.629331419,0.6302296,1.898753094,1.107298359,0.506471954,0.98398706,0.462289438,0.80882144,1.105052051,0.824089049,0.98948767,0.895875624,3.273875642,0.934579574,3.225716636,0.812617748,4.296510212,0.974897454,3.273875642,0.942492457,3.225716636,0.811096857,4.296510212,0.90815115,3.273875642,0.962759491,3.225716636,0.832516318,4.296510212
,0.25 quantile:,,,28,30,24,10.5,17,8,16.5,7,14,2,14,1.625,20.5,9,21.25,7.5,21.25,7.5,27.75,5.5,27.75,5.5,41,16,13,2,15.625,2,30,14,34.25,24,13.625,20.875,9.375,23.25,8.875,21.5,13,20.875,11.125,23.25,11.5,21.5,14,20.875,11.875,23.25,12.25,21.5
,median:,,,32,36,30,17.5,21,11.5,21,9,23,2.5,22,3,25,13,24.5,9.5,24.5,9.5,32.5,6.5,32.5,6.5,41,37.25,24,3,21.5,3,34,25,39,34,18.75,28.25,16,30,14.25,25,19,28.25,18,30,15,25,20,28.25,17,30,16,25
