Number of valid computations:,,90,90,61,57,69,79,75,80,75,81,75,89,73,90,71,71,71,74,71,74,71,76,71,76,26,44,73,88,74,89,69,74,58,77,74,8,76,7,76,5,73,8,74,7,74,5,72,8,72,7,72,5
Ratio of valid computations:,,0.555555556,0.555555556,0.37654321,0.351851852,0.425925926,0.487654321,0.462962963,0.49382716,0.462962963,0.5,0.462962963,0.549382716,0.450617284,0.555555556,0.438271605,0.438271605,0.438271605,0.456790123,0.438271605,0.456790123,0.438271605,0.469135802,0.438271605,0.469135802,0.160493827,0.271604938,0.450617284,0.543209877,0.456790123,0.549382716,0.425925926,0.456790123,0.358024691,0.475308642,0.456790123,0.049382716,0.469135802,0.043209877,0.469135802,0.030864198,0.450617284,0.049382716,0.456790123,0.043209877,0.456790123,0.030864198,0.444444444,0.049382716,0.444444444,0.043209877,0.444444444,0.030864198
Relative distance to minimum computation time:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25 quantile:,,,3.061740458,10.19730695,0.066937001,0.055612373,1.182127278,1.20890697,1.160712496,0.937328066,1.171817843,0.542629039,1.30488381,0,2.012094484,1.969936654,2.641562519,2.292817428,2.365844949,2.441417526,4.186898685,1.413438679,4.341794192,1.565317454,44.71319367,5.368261642,1.826274507,1.192492032,1.269177717,0.710669686,2.844657185,3.729086771,2.89445158,2.692658939,1.147022325,6.563645265,1.225108743,8.061393936,1.230632642,9.153142697,0.982130272,6.837357076,1.338285962,7.096692502,1.500800515,11.30259314,1.428359734,6.584037519,1.291462752,7.691876053,1.263704712,11.18130974
,median:,,,7.41997009,20.96935588,0.519166504,0.602174728,2.350907873,2.216107815,3.369201648,1.793188172,2.346095998,1.086170371,2.609215251,0.273609238,3.769847284,4.36663134,4.37873682,3.821139622,4.391663997,3.886184238,8.031017047,4.035204573,8.22773871,3.995242628,94.88340439,8.765142286,3.10870101,1.977293189,2.480512497,1.187799818,5.321956991,6.73047201,5.369580873,5.484963343,2.619190571,8.928102905,3.033574481,10.02584575,2.665831977,25.76005682,2.91687447,9.071511527,2.931753196,8.913185384,2.515253386,26.98428352,2.54524456,10.49950984,2.944173147,9.059629061,2.957595513,28.99614068
,0.75 quantile:,,,21.44096965,43.04842651,2.765703977,1.697416715,6.847900836,8.303613197,6.27969163,5.241193981,5.275032743,2.631698046,6.397396516,0.921401642,7.824337867,7.982113724,8.790595248,6.120011664,8.105203475,6.748869056,13.21617655,13.12642664,13.17669886,13.56407321,302.6700751,20.89829703,6.227905648,3.516274422,4.893414803,2.552193272,10.03302032,13.07121998,16.09589154,19.8474052,7.940316711,162.5630691,7.253557355,299.1370043,7.218935698,552.2433139,7.606237752,160.9169689,7.085834037,290.95044,7.518823502,562.6511258,8.006085488,158.188644,8.523634165,294.0878033,8.663862158,574.3966957
Relative distance to minimum of maximum resident memory size:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.152796267,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.133687242,inf,inf,inf,inf,inf,0.654801071,inf,0.779141114,inf,0.891065882,inf,0.642451022,inf,0.731405812,inf,0.841305614,inf,0.672847085,inf,0.715210424,inf,0.911543599
,std error of mean:,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.015151965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.016097511,nan,nan,nan,nan,nan,0.206721482,nan,0.2376339,nan,0.288818101,nan,0.215543337,nan,0.233003721,nan,0.298380568,nan,0.213042667,nan,0.242446905,nan,0.288021684
,0.25 quantile:,,,0.176224612,0.278978122,0.0941062,0.178092632,0.130826188,0.125261044,0.162764775,0.145355191,0.151338738,0.049387352,0.151235922,0.06957467,0.235289603,0.236691745,0.216040882,0.218055794,0.225167063,0.224825067,0.27173318,0.225260817,0.254474962,0.240936818,1.737958043,0.249626196,0.153270468,0.039910175,0.126499172,0.016375526,0.234227594,0.272760526,0.178542179,0.282676843,0.27444365,0.234153004,0.259367882,0.316898431,0.259546572,0.307617459,0.262916773,0.241611611,0.258566516,0.279484756,0.278191004,0.365926327,0.237275877,0.325991086,0.253147752,0.227851253,0.240590955,0.394230769
,median:,,,0.498771682,0.555555556,0.342041994,0.46239664,0.235208142,0.215017344,0.312142039,0.2534937,0.256133266,0.142462855,0.314821708,0.158776376,0.40068852,0.386645047,0.40546595,0.431053073,0.435166523,0.456449402,0.53644664,0.354604436,0.484435798,0.380272318,4.281788531,0.562426592,0.27703912,0.115923693,0.256754915,0.078896084,0.630200539,0.599820892,0.614629655,0.849106552,0.447436412,0.369447645,0.406967615,0.481951093,0.444653113,0.500541712,0.408410655,0.367447813,0.431535413,0.349721827,0.424248279,0.369388019,0.449819383,0.348063882,0.388895346,0.379062839,0.393005916,0.459697244
,0.75 quantile:,,,1.504553455,1.502632181,1.004640024,1.087979981,0.62512066,0.502331109,0.79473569,0.82579569,0.824994732,0.190585524,1.073597872,0.315060714,1.433609731,1.445304453,1.738772642,1.593935277,1.686051391,1.598802301,4.257784224,1.733702986,4.022356465,1.74149125,17.33621095,2.514754533,1.007567275,0.196189397,0.814204277,0.183493666,1.610279142,1.586999616,1.07562057,1.837773446,1.158449109,0.811540189,1.076468589,1.108307419,1.122734329,1.566887516,1.195133703,0.720293187,1.157900934,1.11543827,1.108841079,1.614903596,1.127660047,0.701391714,1.085044687,1.077498359,1.161875209,1.682274994
Relative distance to minimum of maximum virtual memory size:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.025732638,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.022654963,inf,inf,inf,inf,inf,0.208901029,inf,0.227801156,inf,0.282240194,inf,0.208901029,inf,0.227801156,inf,0.282240194,inf,0.208901029,inf,0.227801156,inf,0.282240194
,std error of mean:,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004717147,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00432287,nan,nan,nan,nan,nan,0.065124517,nan,0.071655728,nan,0.089377465,nan,0.065124517,nan,0.071655728,nan,0.089377465,nan,0.065124517,nan,0.071655728,nan,0.089377465
,0.25 quantile:,,,0.012836926,0.015948351,0,0.0118596,0.012212241,0.004788535,0.011587726,0.006420907,0.013510368,0.000104707,0.013245952,0.001312123,0.106635397,0.097449255,0.110048447,0.098617026,0.110048447,0.100050084,0.059638541,0.057389608,0.060455925,0.057555348,0.226284434,0.031199629,0.010120757,0.003447244,0.011699326,0.000639263,0.058779685,0.067979282,0.057389872,0.070717907,0.105937111,0.088241362,0.104167852,0.091703561,0.103000018,0.135303185,0.105889454,0.088241362,0.107030237,0.091703561,0.105781326,0.135303185,0.104540303,0.088241362,0.107601803,0.091703561,0.100868738,0.135303185
,median:,,,0.075407101,0.041872733,0.033439186,0.064711606,0.024046363,0.021906222,0.041039556,0.024464626,0.029728947,0.006164015,0.04723539,0.008652072,0.125352478,0.124063468,0.123968515,0.13449096,0.135005622,0.136244442,0.091493247,0.086375895,0.093439912,0.083481172,0.563092317,0.083186262,0.030919616,0.008212942,0.028728526,0.006835637,0.125344542,0.121049477,0.119113161,0.170407797,0.131093783,0.111875986,0.133309607,0.135303185,0.127584323,0.135320505,0.131172976,0.111875986,0.133034192,0.135303185,0.129497867,0.135320505,0.13111864,0.111875986,0.126303921,0.135303185,0.125834373,0.135320505
,0.75 quantile:,,,0.28197827,0.248124763,0.205780654,0.230706985,0.166347468,0.145250802,0.234467759,0.176884062,0.187962032,0.029182684,0.18081067,0.069629432,0.395136001,0.356775615,0.450774943,0.401817682,0.45260841,0.401817682,0.850499354,0.358163717,0.80591599,0.37750856,2.51368624,0.298850727,0.213805876,0.027654136,0.177074639,0.023689315,0.421449617,0.339590137,0.328375159,0.414348735,0.307746219,0.232871318,0.344220114,0.330422132,0.352344213,0.525523758,0.303647479,0.232871318,0.325844371,0.330422132,0.344039764,0.525523758,0.294120469,0.232871318,0.317193251,0.330422132,0.315661965,0.525523758
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block A2: Computations with methods reaching time limit (36000s) about networks in Block A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of valid computations:,,0,0,23,24,20,10,15,10,15,9,15,1,17,0,19,19,19,15,18,15,17,12,17,12,33,40,17,1,16,1,19,15,26,12,15,5,14,0,13,0,16,5,16,0,14,0,18,5,18,0,18,0
Ratio of valid computations:,,0,0,0.141975309,0.148148148,0.12345679,0.061728395,0.092592593,0.061728395,0.092592593,0.055555556,0.092592593,0.00617284,0.104938272,0,0.117283951,0.117283951,0.117283951,0.092592593,0.111111111,0.092592593,0.104938272,0.074074074,0.104938272,0.074074074,0.203703704,0.24691358,0.104938272,0.00617284,0.098765432,0.00617284,0.117283951,0.092592593,0.160493827,0.074074074,0.092592593,0.030864198,0.086419753,0,0.080246914,0,0.098765432,0.030864198,0.098765432,0,0.086419753,0,0.111111111,0.030864198,0.111111111,0,0.111111111,0
Relative distance to minimum relative gap:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,nan,nan,17.63655028,100.9860418,20.10658115,6.334521097,7.24773656,6.324388446,6.959010025,5.733989232,7.549714988,0.416170438,6.754266807,nan,9.190663595,13.25469213,11.45617977,22.52337346,11.95017783,23.64733811,16.77639236,18.56912784,16.79093576,18.57242206,9.171901015,24.14736312,6.887562841,0,6.984182047,1.993383618,19.1795775,13.75019866,12.95453223,8.82602693,6.292658029,11.3926823,5.568501628,nan,6.362966721,nan,5.94057609,11.40739903,4.8917344,nan,4.533122408,nan,6.074149043,11.37475323,5.610689575,nan,5.709998237,nan
,std error of mean:,nan,nan,5.100872703,66.19302801,5.465359061,2.54695808,2.158996139,2.440580516,1.974130626,2.216645883,1.994307794,0,1.768433626,nan,2.542212012,7.248316985,3.615893487,12.79446445,3.814528964,13.03489076,3.424000051,15.1367444,3.440154497,15.12454352,2.483114847,16.39297709,2.020129823,0,1.945746471,0,5.582119107,6.210992169,2.541967265,2.714138579,1.798049105,3.753742909,1.450541819,nan,1.921820058,nan,1.724734777,3.732127069,1.479122694,nan,1.484372512,nan,1.506636149,3.746314098,1.444038844,nan,1.434514249,nan
,0.25 quantile:,nan,nan,2.787738314,0.590037088,2.771160498,0.418449315,1.737999435,0.701384616,1.39366158,0.590081112,3.063865848,0.416170438,2.070418525,nan,2.101018939,0.296943003,2.735517724,0.852478633,2.401902868,0.454019023,6.238516802,0.0042611,6.243986095,0.002301921,0,0,2.190292145,0,2.006850444,1.993383618,2.054503192,0.414243749,2.669836907,1.108027038,1.585276434,7.293155614,1.557443372,nan,1.307039915,nan,1.130676313,7.338703083,0.908640396,nan,1.248717826,nan,1.985227739,7.239839725,1.375981622,nan,1.625557035,nan
,median:,nan,nan,5.58934373,1.925899543,5.204969659,2.873386585,3.578818076,2.429631005,2.193246743,2.113337989,3.634932363,0.416170438,3.644727694,nan,6.040671972,0.875560081,4.605052144,3.141707921,5.272094448,2.164468065,13.78268839,1.047184164,13.80753564,1.046258186,3.516110754,1.305119719,3.085422943,0,3.561216332,1.993383618,4.725050916,2.613128492,7.501410888,4.87500173,2.555689455,10.87217021,2.757039372,nan,2.475300401,nan,2.708481041,10.83580142,2.157953663,nan,1.478102039,nan,3.274973909,10.83307801,2.698985182,nan,2.208043038,nan
,0.75 quantile:,nan,nan,19.20404204,9.630930207,37.70783732,10.16191139,9.756792944,10.06456009,11.62784174,10.02899291,10.30679671,0.416170438,9.381564246,nan,12.13612068,10.58776819,15.88775089,8.854359416,16.14409367,10.75020623,20.64652372,6.298783924,20.51267057,6.334050295,8.661666983,10.21751183,8.221787709,0,9.953665505,1.993383618,29.38815046,7.040366658,19.25196849,13.20539931,10.2927101,11.28537753,9.117353709,nan,8.48640884,nan,9.494373549,11.28537753,6.491819791,nan,5.426161619,nan,8.335515869,11.28537753,8.016040988,nan,7.909363812,nan
Relative distance to minimum upper bound:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,nan,nan,0.048626905,0.016592086,0.054102153,0.013241806,0.035392194,0.030738565,0.037097968,0.024137614,0.038885776,0,0.029316168,nan,0.025930705,0.015867631,0.035004612,0.014602596,0.037056938,0.017302943,0.07721161,0.022173027,0.07721161,0.022173027,0.078395298,0.046858991,0.037787638,0,0.032626139,0,0.056624772,0.021618712,0.059424592,0.051280769,0.029931453,0.055008358,0.01984047,nan,0.029988684,nan,0.028017928,0.055842163,0.018003504,nan,0.019069538,nan,0.025304492,0.055008358,0.016846885,nan,0.021334117,nan
,std error of mean:,nan,nan,0.019739597,0.005799895,0.01787944,0.008103157,0.011678874,0.011924793,0.011086972,0.011180141,0.010946539,0,0.00881317,nan,0.007551266,0.005974817,0.011333192,0.005183257,0.014477849,0.007881647,0.016048109,0.010800332,0.016048109,0.010800332,0.022590778,0.01361417,0.012077037,0,0.010621116,0,0.019574546,0.010715077,0.022653127,0.024394822,0.009242987,0.019210731,0.007552877,nan,0.015415897,nan,0.008870634,0.018949784,0.006821809,nan,0.011709523,nan,0.008084668,0.019210731,0.006598722,nan,0.009624806,nan
,0.25 quantile:,nan,nan,0,0,0.000500184,0,1.68E-06,0.002274773,0,0,0.001024404,0,8.82E-05,nan,0.002398101,0,0.002119468,0,0.003820907,0,0.024348151,0.00030289,0.024348151,0.00030289,0,0,2.01E-06,0,3.71E-06,0,0,0,0,0,0.000140935,0.023484052,0.001816485,nan,0.002453933,nan,0,0.027653078,0,nan,3.40E-07,nan,0.000113289,0.023484052,3.40E-07,nan,1.52E-06,nan
,median:,nan,nan,0.003957733,0.002240832,0.010087789,0,0.014743109,0.01058845,0.01212063,0.004393619,0.021272888,0,0.007510586,nan,0.004117654,0.000855163,0.021689444,0.00220913,0.018237221,0.00387182,0.063355331,0.007552981,0.063355331,0.007552981,0.020214659,0.004952843,0.011592698,0,0.009944319,0,0.001429907,0.000896492,0.007622639,0.003563083,0.005007822,0.043178101,0.00769233,nan,0.006959109,nan,0.002588666,0.043178101,0.003071015,nan,0.002846311,nan,0.003537887,0.043178101,0.00249922,nan,0.003537887,nan
,0.75 quantile:,nan,nan,0.043480016,0.013511804,0.063963346,0.007515327,0.072390628,0.050595502,0.074875629,0.037391481,0.082822851,0,0.059652746,nan,0.053449324,0.01424707,0.037991244,0.021066954,0.034321011,0.016818632,0.133196042,0.025285905,0.133196042,0.025285905,0.066235446,0.05779991,0.050630972,0,0.048672105,0,0.08411983,0.021665031,0.033279014,0.060446686,0.061343209,0.081939762,0.024741105,nan,0.014849518,nan,0.058185004,0.081939762,0.020285575,nan,0.018492616,nan,0.054238062,0.081939762,0.01604393,nan,0.020519032,nan
Relative distance to maximum lower bound:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,nan,nan,0.193674494,0.120578835,0.231341913,0.073007819,0.06202049,0.055552016,0.057590442,0.051169701,0.063513494,0.003169346,0.054760246,nan,0.049142649,0.03305498,0.058932455,0.024749293,0.055983387,0.029141529,0.09012644,0.01051823,0.090170388,0.010608374,0.072887792,0.033082328,0.05501841,0,0.05886993,0.015177762,0.216931142,0.092550251,0.092423898,0.08326865,0.056476136,0.09594458,0.057256115,nan,0.064976349,nan,0.052249874,0.096268376,0.048319549,nan,0.046198844,nan,0.04770856,0.096020604,0.045272848,nan,0.048303089,nan
,std error of mean:,nan,nan,0.061472934,0.05097709,0.067603382,0.02512136,0.014122832,0.014101689,0.013695129,0.014169487,0.01373182,0,0.013019392,nan,0.010914782,0.009465839,0.01336466,0.005131009,0.013848041,0.005778565,0.016371888,0.003212324,0.016362828,0.003279765,0.013037978,0.006415525,0.01337028,0,0.013260463,0,0.06437821,0.051834166,0.015897031,0.020150739,0.012961108,0.015998229,0.013377083,nan,0.017029972,nan,0.012754786,0.015564301,0.012608666,nan,0.014892548,nan,0.011753428,0.015596847,0.011605075,nan,0.013717757,nan
,0.25 quantile:,nan,nan,0.028848686,0.006300146,0.026182788,0.007897093,0.017371968,0.020387602,0.011584861,0.013012094,0.016584556,0.003169346,0.012952488,nan,0.013679366,0.005814373,0.015340156,0.00845076,0.015217304,0.008113719,0.037752855,0.000299744,0.037565253,3.98E-05,0,0,0.010050328,0,0.016980459,0.015177762,0.021074062,0.006674988,0.030316023,0.021624311,0.01588711,0.087486455,0.020600234,nan,0.02107541,nan,0.012707777,0.088053032,0.01296304,nan,0.014763484,nan,0.010619466,0.08682781,0.008405795,nan,0.009618631,nan
,median:,nan,nan,0.057221973,0.030145978,0.078232787,0.036650287,0.037247847,0.037485864,0.035249794,0.025973805,0.047566209,0.003169346,0.022982565,nan,0.029558842,0.012589584,0.033148298,0.023050163,0.029183016,0.032210511,0.063149642,0.007582899,0.063989277,0.007614714,0.058456031,0.013174766,0.033349677,0,0.042967555,0.015177762,0.084848315,0.010008587,0.070960119,0.059069226,0.02701796,0.103188548,0.036563045,nan,0.033685394,nan,0.026009784,0.102785928,0.021824638,nan,0.020806466,nan,0.022164508,0.102880905,0.021552368,nan,0.021226386,nan
,0.75 quantile:,nan,nan,0.15205355,0.07334327,0.268101208,0.158038091,0.104048209,0.100633974,0.099723114,0.093244853,0.10870764,0.003169346,0.084772616,nan,0.064214052,0.03771585,0.075428667,0.034327797,0.070515275,0.043113016,0.118348047,0.019677035,0.119100613,0.019775254,0.117950135,0.054919471,0.079395005,0,0.092002902,0.015177762,0.325028812,0.065234841,0.135975206,0.121568395,0.091597997,0.118836722,0.09641241,nan,0.105106964,nan,0.079402938,0.118836722,0.067711793,nan,0.049659473,nan,0.065874307,0.118836722,0.056131148,nan,0.053412063,nan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block B: Report on networks that cannot be solved inside the time limit (36000s) through any Benders method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of valid computations:,,63,63,38,8,55,61,63,63,63,63,61,60,61,63,63,63,57,61,58,61,49,51,49,51,23,38,62,59,61,61,52,62,59,63,63,57,62,45,62,0,63,57,63,45,63,0,63,57,62,44,63,0
Ratio of valid computations:,,0.388888889,0.388888889,0.234567901,0.049382716,0.339506173,0.37654321,0.388888889,0.388888889,0.388888889,0.388888889,0.37654321,0.37037037,0.37654321,0.388888889,0.388888889,0.388888889,0.351851852,0.37654321,0.358024691,0.37654321,0.302469136,0.314814815,0.302469136,0.314814815,0.141975309,0.234567901,0.382716049,0.364197531,0.37654321,0.37654321,0.320987654,0.382716049,0.364197531,0.388888889,0.388888889,0.351851852,0.382716049,0.277777778,0.382716049,0,0.388888889,0.351851852,0.388888889,0.277777778,0.388888889,0,0.388888889,0.351851852,0.382716049,0.271604938,0.388888889,0
Relative distance to minimum relative gap:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,-0.981971555,-0.984140544,32.47930114,17.38231205,19.77691199,4.831702145,6.783791203,6.120690684,6.693316274,5.626596544,6.973367486,1.613648477,7.112476252,0.604940299,6.749426266,5.98682835,6.422348042,3.049329006,6.580867117,2.95502843,11.48509965,1.107563584,11.46038716,1.108737455,20.75604067,8.262194263,6.811320672,1.287662261,7.0403152,1.341833574,17.49137033,15.1228424,10.95547483,9.535447908,6.728384933,6.671450991,6.56141188,6.427739966,7.287926979,nan,6.734002344,6.971031184,6.53570202,6.434559313,7.442659718,nan,6.741787059,7.005862457,6.353295586,6.502641869,7.112358284,nan
,std error of mean:,0.003957587,0.003601768,11.53468318,8.024503227,7.419806176,1.087875251,2.124622238,2.044065309,2.214459247,1.985214479,2.318503846,0.761807599,2.341887439,0.274615536,2.24575495,2.000305282,1.95543551,0.599580391,2.045653486,0.629358919,3.794733132,0.283071594,3.795293369,0.283055469,8.555943767,2.404152427,2.189855395,0.424721137,2.345165166,0.552704445,7.03868179,6.577723906,3.806561833,3.021353915,2.247222987,2.467352848,2.249961315,3.053968737,2.612825181,nan,2.247692969,2.476193318,2.234496839,3.059114252,2.771289686,nan,2.247692889,2.486896283,2.252421529,3.135918577,2.543599252,nan
,0.25 quantile:,-0.999365631,-0.999863556,3.210354099,2.951622347,1.788549269,1.322492062,1.010000654,0.93422715,0.797688455,0.677230912,1.001587574,0.159732048,0.937093214,0,1.04594404,0.933596518,1.162046664,1.022430866,1.233335309,0.849447157,1.534149866,0.054383901,1.535109922,0.090016919,3.093624691,1.802662993,0.990974027,0.294351481,0.919770053,0.161186347,1.594292906,1.693894066,1.988885867,1.845406206,1.084157912,1.263511958,1.06430771,1.128397613,0.99183097,nan,1.085357606,1.268858216,1.086998406,1.128397613,0.901365435,nan,1.084430815,1.262518988,0.988654989,1.124396863,0.943557859,nan
,median:,-0.99875317,-0.999172815,5.346859953,5.685934418,3.172806647,1.840939031,1.594161315,1.452612318,1.483130926,1.211792819,1.458920417,0.421767649,1.553492775,0,1.627763253,1.630933879,1.773784931,1.524019969,2.100984142,1.466534935,2.575700556,0.527883448,2.575852438,0.507658594,4.37136802,2.550255949,1.695113134,0.531989433,1.625661734,0.450648061,3.279366206,3.050002953,3.071266884,2.990758264,1.583608365,1.944888291,1.616152328,1.730379419,1.511135758,nan,1.584012701,1.955472866,1.58401778,1.7283407,1.426628336,nan,1.583215661,1.958868561,1.541604433,1.662826536,1.432957173,nan
,0.75 quantile:,-0.976821924,-0.983207121,18.82697708,18.07325177,8.450068614,2.939910111,3.201852087,3.062715575,3.450736087,2.653992288,2.959897552,0.859845677,3.428434549,0.312476464,3.368939181,2.947796135,4.040194744,2.982912764,3.873773946,2.981467575,4.957636124,1.195812971,4.666709727,1.199427931,7.474301041,7.563045632,3.407053797,0.962537918,3.117367036,0.73264601,6.647205172,7.778957434,5.783778514,5.569314248,3.384993329,3.330747821,3.44845927,2.464602622,3.394281538,nan,3.384552061,3.415678629,3.355299882,2.520710327,3.414988079,nan,3.383806862,3.415950888,3.145938772,2.450222611,3.640550298,nan
Relative distance to minimum upper bound:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,-0.050480935,-0.050572981,0.277120298,0.306293856,0.172359309,0.083997851,0.128773199,0.1141896,0.108781673,0.094115045,0.109301147,0.078224395,0.117535655,0.0212264,0.123741956,0.126417496,0.145506873,0.132484635,0.161951328,0.143777673,0.218482132,0.109334352,0.215411248,0.107675477,0.390489379,0.324345943,0.116335283,0.084434954,0.10922204,0.075416448,0.185583286,0.157590288,0.255404071,0.233511248,0.123116178,0.160851114,0.120375973,0.187291861,0.08478278,nan,0.123765623,0.157277635,0.119806617,0.187115619,0.079177328,nan,0.12377563,0.158290036,0.122867237,0.185378124,0.083685503,nan
,std error of mean:,0.006394865,0.006414141,0.036153435,0.059357105,0.014150741,0.008516786,0.010884127,0.010896757,0.008962281,0.008879333,0.009900476,0.010411792,0.009970977,0.003987696,0.009274648,0.010169069,0.009895272,0.012823334,0.011057691,0.015055778,0.023348129,0.015550701,0.023275261,0.015118288,0.034188175,0.036803272,0.010425736,0.01197288,0.010500837,0.010622582,0.017973929,0.013469018,0.023097488,0.019284352,0.009143032,0.012778652,0.009404831,0.013669876,0.008044641,nan,0.00920527,0.012887746,0.009640873,0.013602838,0.008640185,nan,0.009273858,0.012955674,0.009546103,0.013755619,0.007341887,nan
,0.25 quantile:,-0.080953895,-0.081245396,0.111800544,0.197467916,0.080344402,0.032106128,0.068270319,0.066826396,0.055699963,0.042945944,0.04894197,0.008540568,0.060944389,0,0.051000726,0.059623938,0.09605493,0.028522779,0.103602138,0.042709813,0.087630354,0.013506465,0.087630354,0.013506465,0.24501169,0.135482293,0.055217702,0.011004257,0.050553244,0.008178126,0.083950069,0.079426096,0.137053532,0.095481021,0.055604583,0.082325208,0.052454484,0.108094122,0.037072237,nan,0.055604583,0.077192951,0.041029874,0.108094122,0.026237185,nan,0.053400223,0.077192951,0.056156688,0.107394665,0.039124457,nan
,median:,-0.03852462,-0.03852462,0.239021099,0.302615948,0.182510706,0.071784416,0.099928925,0.088556878,0.087559796,0.074091696,0.090999787,0.059138046,0.093950928,0.004296251,0.128199682,0.112826686,0.13897872,0.123119435,0.147628863,0.129677326,0.17445781,0.091581728,0.17132276,0.091581728,0.359346795,0.296536093,0.098117699,0.045629512,0.086157826,0.037525263,0.174832164,0.139660766,0.239987838,0.227165779,0.127104472,0.143670078,0.11566894,0.162761316,0.066810329,nan,0.127104472,0.139963349,0.117570828,0.162761316,0.05567986,nan,0.127104472,0.139963349,0.12233765,0.160770043,0.074341537,nan
,0.75 quantile:,-0.00797222,-0.00797222,0.38055197,0.455601564,0.245063232,0.126462666,0.170890292,0.142463521,0.154388387,0.125323461,0.154535802,0.140026388,0.15085927,0.034551431,0.194677252,0.182678884,0.220889254,0.216328079,0.220131421,0.201839651,0.329011918,0.158985735,0.329011918,0.158985735,0.497736412,0.444408951,0.170055273,0.16716583,0.13580458,0.132507465,0.248967863,0.215594546,0.321165493,0.303321497,0.190235655,0.225756811,0.191070999,0.238966159,0.128085146,nan,0.194677252,0.222733654,0.194677252,0.238966159,0.120445136,nan,0.194677252,0.225756811,0.196062707,0.238208243,0.110546631,nan
Relative distance to maximum lower bound:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,-0.062362213,-0.06284942,0.577962842,0.555502604,0.461154998,0.222888212,0.169052429,0.158278963,0.160880311,0.136956184,0.165910408,0.039081571,0.160345069,0.025844215,0.168689108,0.158828724,0.175141379,0.13369033,0.181761384,0.122876759,0.210484407,0.016561821,0.210785848,0.016642344,0.305602809,0.091047971,0.165715089,0.039019909,0.164808091,0.037684347,0.444331949,0.438449584,0.292035061,0.278476555,0.16841373,0.197157452,0.170121601,0.227063757,0.185591581,nan,0.16840086,0.194912388,0.167736357,0.227583856,0.183231323,nan,0.168480975,0.195756774,0.168825207,0.226491628,0.177552162,nan
,std error of mean:,0.005972065,0.006005106,0.042783493,0.081129661,0.03449737,0.017630637,0.01108049,0.011163936,0.010971977,0.010558808,0.010947741,0.004952089,0.010725088,0.004140793,0.011012937,0.01089476,0.011301454,0.010292043,0.01174424,0.009103659,0.01646253,0.005541567,0.016590249,0.005577612,0.028320694,0.007025766,0.011088556,0.004922075,0.010954609,0.004762153,0.038792522,0.035776585,0.014516343,0.015261068,0.011004481,0.014066516,0.011048519,0.014342479,0.012308658,nan,0.011009855,0.014083473,0.011138085,0.014452967,0.012565434,nan,0.01099295,0.014185825,0.011224153,0.014675252,0.01248025,nan
