(copy of rankings_CPX_all_completed_21Jun2026-17h06.csv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benders methods are compared based on their rankings with respect to several measures of performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of networks:,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of methods:,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methods (see legend below): ,,CPX_T-0.0001_ILP_flow,CPX_T-0.0001_ILP_flow_strong,CPX_T-0.0001_Std,CPX_F_T-0.0001_Std,CPX_T-0.0001_Std_Decomp,CPX_F_T-0.0001_Std_Decomp,CPX_T-0.0001_Fisch,CPX_F_T-0.0001_Fisch,CPX_U_T-0.0001_Fisch,CPX_F_U_T-0.0001_Fisch,CPX_T-0.0001_StatBS,CPX_F_T-0.0001_StatBS,CPX_U_T-0.0001_StatBS,CPX_F_U_T-0.0001_StatBS,CPX_G-0.1_M-1_T-0.0001_AdaptBS,CPX_F_G-0.1_M-1_T-0.0001_AdaptBS,CPX_G-0.5_M-1_T-0.0001_AdaptBS,CPX_F_G-0.5_M-1_T-0.0001_AdaptBS,CPX_M-1_T-0.0001_AdaptBS,CPX_F_M-1_T-0.0001_AdaptBS,CPX_E-2_T-0.0001_Seo,CPX_F_E-2_T-0.0001_Seo,CPX_E-4_T-0.0001_Seo,CPX_F_E-4_T-0.0001_Seo,CPX_R-0_T-0.0001_HT,CPX_F_R-0_T-0.0001_HT,CPX_R-1_T-0.0001_HT,CPX_F_R-1_T-0.0001_HT,CPX_R-2_T-0.0001_HT,CPX_F_R-2_T-0.0001_HT,CPX_P-1.0_L-0.5_A_T-0.0001_MW,CPX_F_P-1.0_L-0.5_A_T-0.0001_MW,CPX_P-1.0_L-0.5_T-0.0001_Papa,CPX_F_P-1.0_L-0.5_T-0.0001_Papa,CPX_H-0.1_G-0.1_M-1_T-0.0001_Glomb,CPX_F_H-0.1_G-0.1_M-1_T-0.0001_Glomb,CPX_H-0.1_G-0.25_M-1_T-0.0001_Glomb,CPX_F_H-0.1_G-0.25_M-1_T-0.0001_Glomb,CPX_H-0.1_G-0.75_M-1_T-0.0001_Glomb,CPX_F_H-0.1_G-0.75_M-1_T-0.0001_Glomb,CPX_H-0.5_G-0.1_M-1_T-0.0001_Glomb,CPX_F_H-0.5_G-0.1_M-1_T-0.0001_Glomb,CPX_H-0.5_G-0.25_M-1_T-0.0001_Glomb,CPX_F_H-0.5_G-0.25_M-1_T-0.0001_Glomb,CPX_H-0.5_G-0.75_M-1_T-0.0001_Glomb,CPX_F_H-0.5_G-0.75_M-1_T-0.0001_Glomb,CPX_H-0.9_G-0.1_M-1_T-0.0001_Glomb,CPX_F_H-0.9_G-0.1_M-1_T-0.0001_Glomb,CPX_H-0.9_G-0.25_M-1_T-0.0001_Glomb,CPX_F_H-0.9_G-0.25_M-1_T-0.0001_Glomb,CPX_H-0.9_G-0.75_M-1_T-0.0001_Glomb,CPX_F_H-0.9_G-0.75_M-1_T-0.0001_Glomb
,mean:,,,nan,nan,nan,13.3671875,9.169642857,8.967213115,8.544117647,8.273972603,6.666666667,3.105633803,6.085714286,2.744186047,nan,nan,nan,nan,nan,7.835820896,nan,15,nan,nan,nan,nan,6.298387097,3.142857143,6.855932203,3.910447761,nan,13.59166667,nan,nan,nan,nan,nan,nan,nan,nan,10.88571429,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,std error of mean:,,,nan,nan,nan,0.304034193,0.373994567,0.315093066,0.350749213,0.346285695,0.377614344,0.267775241,0.360692564,0.213577809,nan,nan,nan,nan,nan,0.502321195,nan,0.78173596,nan,nan,nan,nan,0.354739663,0.247877286,0.354729778,0.262560471,nan,0.301959266,nan,nan,nan,nan,nan,nan,nan,nan,0.302569174,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,0.25 quantile:,,,nan,nan,nan,12,7.375,8,6.5,7,5,1.5,4,1,nan,nan,nan,nan,nan,4,nan,13.5,nan,nan,nan,nan,4,1.5,5,2.5,nan,13,nan,nan,nan,nan,nan,nan,nan,nan,9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,median:,,,nan,nan,nan,14,10,9,9,9,6,2.5,6,2,nan,nan,nan,nan,nan,8.5,nan,15.5,nan,nan,nan,nan,6,3,6.5,3.5,nan,14,nan,nan,nan,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,0.75 quantile:,,,nan,nan,nan,15,11.625,11,11,10,9,4,7.875,3,nan,nan,nan,nan,nan,11.25,nan,16.75,nan,nan,nan,nan,8,4,8.5,5,nan,15,nan,nan,nan,nan,nan,nan,nan,nan,13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Rank of number of optimality cuts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,nan,nan,nan,7.5,9.196428571,8.229508197,6.625,4.609589041,9.991666667,4.957746479,7.614285714,1.994186047,nan,nan,nan,nan,nan,9.194029851,nan,13.5,nan,nan,nan,nan,10.29032258,4.878571429,10.30508475,5.776119403,nan,8.308333333,nan,nan,nan,nan,nan,nan,nan,nan,10.61428571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,std error of mean:,,,nan,nan,nan,0.506669386,0.440619088,0.458514622,0.379567769,0.273329137,0.422540542,0.423794658,0.459832648,0.184494652,nan,nan,nan,nan,nan,0.485585864,nan,1.241638702,nan,nan,nan,nan,0.435864288,0.435355322,0.451149534,0.519210333,nan,0.491608989,nan,nan,nan,nan,nan,nan,nan,nan,0.397847708,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,0.25 quantile:,,,nan,nan,nan,4,6.75,6,4,3,8,2,4.125,1,nan,nan,nan,nan,nan,5.25,nan,11.25,nan,nan,nan,nan,8.25,2,7.5,2.25,nan,5.375,nan,nan,nan,nan,nan,nan,nan,nan,8.625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,median:,,,nan,nan,nan,7,9,8,7,5,10.5,3,7,1,nan,nan,nan,nan,nan,9,nan,13.5,nan,nan,nan,nan,11,4,11,4,nan,8,nan,nan,nan,nan,nan,nan,nan,nan,10.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
