(copy of rankings_GRB_all_Std_cautious_Papa_rev_algo_CPX_all_completed_30June2026-23h05_restricted.csv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benders methods are compared based on their rankings with respect to several measures of performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of networks:,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of methods:,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methods (see legend below): ,,GRB_T-0.0001_ILP_flow,CPX_T-0.0001_ILP_flow,GRB_T-0.0001_ILP_flow_strong,CPX_T-0.0001_ILP_flow_strong,GRB_F_T-0.0001_Std_Decomp,CPX_F_T-0.0001_Std_Decomp,GRB_T-0.0001_Fisch,CPX_T-0.0001_Fisch,GRB_F_T-0.0001_Fisch,CPX_F_T-0.0001_Fisch,GRB_U_T-0.0001_Fisch,CPX_U_T-0.0001_Fisch,GRB_F_U_T-0.0001_Fisch,CPX_F_U_T-0.0001_Fisch,GRB_T-0.0001_StatBS,CPX_T-0.0001_StatBS,GRB_F_T-0.0001_StatBS,CPX_F_T-0.0001_StatBS,GRB_U_T-0.0001_StatBS,CPX_U_T-0.0001_StatBS,GRB_F_U_T-0.0001_StatBS,CPX_F_U_T-0.0001_StatBS,GRB_F_M-1_T-0.0001_AdaptBS,CPX_F_M-1_T-0.0001_AdaptBS,GRB_F_E-2_T-0.0001_Seo,CPX_F_E-2_T-0.0001_Seo,GRB_R-1_T-0.0001_HT,CPX_R-1_T-0.0001_HT,GRB_F_R-1_T-0.0001_HT,CPX_F_R-1_T-0.0001_HT,GRB_R-2_T-0.0001_HT,CPX_R-2_T-0.0001_HT,GRB_F_R-2_T-0.0001_HT,CPX_F_R-2_T-0.0001_HT,GRB_F_P-1.0_L-0.5_A_T-0.0001_MW,CPX_F_P-1.0_L-0.5_A_T-0.0001_MW,GRB_H-0.5_G-0.1_M-1_T-0.0001_Glomb,CPX_H-0.5_G-0.1_M-1_T-0.0001_Glomb
,mean:,,,,,8.485507246,17.32539683,16.98305085,20.61607143,11.17164179,18.45081967,16.56521739,16.03676471,9.092105263,11.76027397,16.70634921,22.25,4.047945205,11.6056338,17.25352113,17.93571429,4.255813953,6.005813953,12.93150685,20.29104478,13.26923077,27.66666667,17.23846154,22.64516129,4.871621622,11.91428571,16.86290323,22.90677966,5.415492958,13.37313433,14.22727273,18.23333333,14.68493151,22.77142857
,std error of mean:,,,,,0.784215407,1.09415398,0.752088551,0.844115196,0.626292581,0.891199238,0.743586528,0.713903279,0.510766232,0.552388627,0.892469752,0.728344775,0.381004734,0.980311816,0.86501541,0.791209448,0.438847145,0.497593872,0.835297214,0.941905122,2.57354278,2.815302102,0.887394144,0.761863089,0.530141595,0.946366382,0.830775855,0.770997796,0.619557111,1.090540509,0.951243798,1.048707317,0.759162884,0.722501728
,0.25 quantile:,,,,,4,11.5,12.75,17.375,8,15,13,12,6,9,12,19,2,5,12.5,13,1.125,3,7,13.5,8,25.75,12.5,19,2,6,12,20,2,6,8,12,12,19
,median:,,,,,6.5,18,18,20.5,11,17,17,16.75,9,11.5,17,23,3,8,18,16.5,3,5,11,21,9,29.5,18,24,3.75,9.5,18,23,4,9,13.5,18,15,23.5
,0.75 quantile:,,,,,13,24.5,20.75,26.125,14.5,23,20,20,11.625,15,21,26,5,19.5,22.5,23.375,6,7,18,26.5,19,33.25,22,27,5.75,16,21.75,28,6.5,22,19.75,25.625,19,27
Rank of number of cuts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,,,15.89855072,20.70634921,17.38135593,19.75892857,11.46268657,17.7704918,16.7826087,14.81617647,9.335526316,10.8630137,16.4047619,21.26666667,3.102739726,10.3028169,16.69014085,16.48571429,3.610465116,4.680232558,13.04794521,19.20149254,14,28.66666667,16.78461538,21.91935484,3.736486486,10.75714286,16.47580645,22.05084746,3.774647887,12.45522388,18.84090909,21.91666667,15.2260274,22.25
,std error of mean:,,,,,0.825424328,0.905780193,0.815176622,0.824043883,0.678268588,0.891867597,0.721404254,0.664040565,0.55811721,0.490313401,0.886608266,0.759336943,0.256087254,0.918385402,0.824837976,0.839944813,0.342717755,0.32702264,0.851585806,0.971070728,2.335727146,2.959604578,0.890579841,0.780234625,0.367883282,0.888632454,0.835713275,0.804209597,0.418263469,1.097178957,0.81573421,0.835760355,0.743965597,0.714196423
,0.25 quantile:,,,,,11,15,12.5,15,7.75,14,13,11,6,8,10.25,17,1.5,5,11.5,10.625,1,3,7,11.5,9,26.75,11,18,2,5,10.875,17.25,2,5.75,14,17,12,19
,median:,,,,,14.5,22,17.5,19.5,11,17,16,14.75,9,11,17,22,2.5,7,17,16,2.75,4,11,20,9,32.5,18,24,3,8,17,23,3,8,19,23,15,23
,0.75 quantile:,,,,,22,27,22,24.25,14.5,22,21,19,12,14,20.75,26,4,15,22,22,5,5.375,19,26,19,33.75,22,26,4.875,15,21,27,4,20,24.75,27.25,20,26
Rank of total time spent in subproblems:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,,,7.101449275,11.25396825,12.20338983,17.58928571,11.47761194,18.78688525,12.13043478,22.04411765,8.960526316,21.50684932,11.63492063,17.81666667,6.561643836,9.492957746,12.66197183,22.78571429,4.046511628,13.43023256,14.91780822,16.49253731,15,20.83333333,15.53846154,23.93548387,9.905405405,16.92857143,12.30645161,19.10169492,6.929577465,10,19.57575758,24.73333333,12.67123288,15.15714286
